# total_chars=19650
# unique_chars=63
# total_bigrams=19649
# unique_bigrams=699
# format: item<TAB>count<TAB>probability

=== CHARS ===
lw	2	0.0001017864
xi	2	0.0001017864
sT	2	0.0001017864
So	2	0.0001017864
lc	2	0.0001017864
Te	2	0.0001017864
TB	2	0.0001017864
Fa	2	0.0001017864
uo	2	0.0001017864
oh	2	0.0001017864
sd	2	0.0001017864
wc	2	0.0001017864
zo	2	0.0001017864
tf	2	0.0001017864
El	2	0.0001017864
lg	2	0.0001017864
hm	2	0.0001017864
bt	2	0.0001017864
\sQ	2	0.0001017864
Qu	2	0.0001017864
St	2	0.0001017864
\sL	2	0.0001017864
pt	2	0.0001017864
nI	2	0.0001017864
40	2	0.0001017864
ky	2	0.0001017864
b\s	2	0.0001017864
ah	2	0.0001017864
Ex	2	0.0001017864
xc	2	0.0001017864
nr	2	0.0001017864
oS	2	0.0001017864
dH	2	0.0001017864
Ja	2	0.0001017864
Un	2	0.0001017864
15	2	0.0001017864
Ga	2	0.0001017864
tn	2	0.0001017864
T\s	2	0.0001017864
Au	2	0.0001017864
30	2	0.0001017864
ER	2	0.0001017864
fd	2	0.0001017864
eB	2	0.0001017864
tp	2	0.0001017864
Us	2	0.0001017864
wn	2	0.0001017864
09	2	0.0001017864
Ai	2	0.0001017864
vy	2	0.0001017864
za	2	0.0001017864
AM	2	0.0001017864
MA	2	0.0001017864
nT	1	0.0000508932
Wh	1	0.0000508932
13	1	0.0000508932
3o	1	0.0000508932
gD	1	0.0000508932
sP	1	0.0000508932
Pa	1	0.0000508932
Tu	1	0.0000508932
gt	1	0.0000508932
tI	1	0.0000508932
uz	1	0.0000508932
zz	1	0.0000508932
z\s	1	0.0000508932
rh	1	0.0000508932
Ho	1	0.0000508932
Is	1	0.0000508932
nh	1	0.0000508932
df	1	0.0000508932
By	1	0.0000508932
aG	1	0.0000508932
At	1	0.0000508932
sD	1	0.0000508932
UC	1	0.0000508932
CS	1	0.0000508932
Sa	1	0.0000508932
n2	1	0.0000508932
08	1	0.0000508932
hd	1	0.0000508932
12	1	0.0000508932
96	1	0.0000508932
hw	1	0.0000508932
eZ	1	0.0000508932
5x	1	0.0000508932
x1	1	0.0000508932
fW	1	0.0000508932
If	1	0.0000508932
iс	1	0.0000508932
сk	1	0.0000508932
86	1	0.0000508932
60	1	0.0000508932
7z	1	0.0000508932
\sx	1	0.0000508932
sA	1	0.0000508932
bv	1	0.0000508932
35	1	0.0000508932
dB	1	0.0000508932
Kn	1	0.0000508932
sg	1	0.0000508932
lF	1	0.0000508932
Gu	1	0.0000508932
DN	1	0.0000508932
NA	1	0.0000508932
75	1	0.0000508932
0M	1	0.0000508932
MB	1	0.0000508932
2P	1	0.0000508932
tS	1	0.0000508932
aC	1	0.0000508932
hT	1	0.0000508932
SB	1	0.0000508932
\s8	1	0.0000508932
80	1	0.0000508932
\s9	1	0.0000508932
94	1	0.0000508932
yS	1	0.0000508932
yF	1	0.0000508932
Bs	1	0.0000508932
mO	1	0.0000508932
fc	1	0.0000508932
lq	1	0.0000508932
Jo	1	0.0000508932
91	1	0.0000508932
my	1	0.0000508932
gd	1	0.0000508932
yA	1	0.0000508932
tg	1	0.0000508932
gp	1	0.0000508932
Ju	1	0.0000508932
II	1	0.0000508932
hb	1	0.0000508932
nN	1	0.0000508932
ao	1	0.0000508932
sr	1	0.0000508932
lv	1	0.0000508932
To	1	0.0000508932
La	1	0.0000508932
ek	1	0.0000508932
Ce	1	0.0000508932
sb	1	0.0000508932
nO	1	0.0000508932
eL	1	0.0000508932
dI	1	0.0000508932
sq	1	0.0000508932
rK	1	0.0000508932
tK	1	0.0000508932
Cy	1	0.0000508932
yf	1	0.0000508932
eM	1	0.0000508932
Wi	1	0.0000508932
Ya	1	0.0000508932
pR	1	0.0000508932
Tr	1	0.0000508932
mn	1	0.0000508932
sS	1	0.0000508932
dN	1	0.0000508932
aq	1	0.0000508932
eH	1	0.0000508932
Hi	1	0.0000508932
Ed	1	0.0000508932
rI	1	0.0000508932
Mc	1	0.0000508932
cK	1	0.0000508932
\s\s	1	0.0000508932
90	1	0.0000508932
0p	1	0.0000508932
td	1	0.0000508932
44	1	0.0000508932
IT	1	0.0000508932
sB	1	0.0000508932
db	1	0.0000508932
Sq	1	0.0000508932
Ar	1	0.0000508932
SK	1	0.0000508932
KA	1	0.0000508932
pm	1	0.0000508932
Af	1	0.0000508932
6s	1	0.0000508932
km	1	0.0000508932
dS	1	0.0000508932
Sv	1	0.0000508932
Ch	1	0.0000508932
Of	1	0.0000508932
CE	1	0.0000508932
RN	1	0.0000508932
N\s	1	0.0000508932
sK	1	0.0000508932
99	1	0.0000508932
95	1	0.0000508932
Fu	1	0.0000508932
aa	1	0.0000508932
lb	1	0.0000508932
aj	1	0.0000508932
oB	1	0.0000508932
Io	1	0.0000508932
oT	1	0.0000508932
dm	1	0.0000508932
eI	1	0.0000508932
bj	1	0.0000508932
je	1	0.0000508932
PC	1	0.0000508932
Cs	1	0.0000508932
26	1	0.0000508932
0f	1	0.0000508932
\s0	1	0.0000508932
9b	1	0.0000508932
yI	1	0.0000508932
wp	1	0.0000508932
fB	1	0.0000508932
dp	1	0.0000508932
dA	1	0.0000508932
Ae	1	0.0000508932
lV	1	0.0000508932
Ve	1	0.0000508932
UA	1	0.0000508932
AV	1	0.0000508932
yw	1	0.0000508932
py	1	0.0000508932
Na	1	0.0000508932
rF	1	0.0000508932
fp	1	0.0000508932
eU	1	0.0000508932
fs	1	0.0000508932
yv	1	0.0000508932
dt	1	0.0000508932
HE	1	0.0000508932
R\s	1	0.0000508932
EH	1	0.0000508932
HR	1	0.0000508932
Rs	1	0.0000508932
nM	1	0.0000508932
gw	1	0.0000508932
45	1	0.0000508932
kg	1	0.0000508932
sv	1	0.0000508932
Bo	1	0.0000508932
fb	1	0.0000508932
Sh	1	0.0000508932
Ul	1	0.0000508932
